x, y, z, stress
0., 4.1081652e-12, 0.159999996, 1.734
0.5, 0., 0., 1.000
0., 0.25, 0., 1.630
0., -0.25, 0., 1.656
-0.5, 0., 0., 1.902
-0.25, 0.216506347, 0., 1.796
-0.25, -0.216506347, 0., 1.986
0.107168697, 0., 0.156281546, 1.636
0.213761255, 0., 0.144640759, 1.530
0.31880933, 0., 0.123256348, 1.418
0.419575363, 0., 0.0870238319, 1.270
0.483048797, 0., 0.0413083471, 1.139
0.481239557, 0.0678389445, 0., 1.043
0.433094859, 0.124928825, 0., 1.147
0.370249629, 0.168014303, 0., 1.255
0.30061996, 0.199767143, 0., 1.346
0.227551281, 0.222609758, 0., 1.427
0.15256317, 0.238077968, 0., 1.499
0.0765180513, 0.247055143, 0., 1.573
0., 0.216297537, 0.0802310333, 1.452
0., 0.116463609, 0.141577825, 1.682
0., -0.11646308, 0.141578004, 1.710
0., -0.216296792, 0.0802318528, 1.485
0.0765180588, -0.247055143, 0., 1.579
0.152563199, -0.238077968, 0., 1.514
0.227551922, -0.222609594, 0., 1.428
0.300620377, -0.199766979, 0., 1.346
0.370250553, -0.168013781, 0., 1.254
0.433096111, -0.124927737, 0., 1.150
0.481240839, -0.0678366646, 0., 1.043
-0.483048499, 0., 0.0413086936, 1.821
-0.419574827, 0., 0.0870240852, 1.849
-0.318809241, 0., 0.12325637, 1.976
-0.213761047, 0., 0.144640788, 1.959
-0.107168451, 0., 0.156281561, 1.846
-0.0842475817, 0.246425614, 0., 1.694
-0.167855203, 0.235491306, 0., 1.746
-0.318174899, 0.192850158, 0., 1.793
-0.382809728, 0.160823435, 0., 1.763
-0.44015646, 0.118598364, 0., 1.741
-0.483201444, 0.0642580315, 0., 1.691
-0.483201444, -0.0642580315, 0., 1.732
-0.440156519, -0.118598297, 0., 1.751
-0.382809252, -0.160823718, 0., 1.808
-0.318176508, -0.192849487, 0., 1.844
-0.16785571, -0.235491216, 0., 1.817
-0.0842474028, -0.246425629, 0., 1.719
0.229336441, 0.204309508, 0.0558262989, 1.329
0.0926756188, 0.229888871, 0.0554400906, 1.384
0.173896164, 0.22255595, 0.0470688716, 1.371
0.453445673, 0.0635562539, 0.0537651777, 1.188
0.386775136, 0.0951019898, 0.0810980275, 1.291
0.260689378, 0.14822951, 0.0981900021, 1.386
0.315531433, 0.0959770977, 0.107851639, 1.379
0.159556001, 0.171824038, 0.104404323, 1.457
0.0688915327, 0.171330169, 0.114414148, 1.550
0.183654219, 0.0822248012, 0.139200911, 1.537
0.333843201, 0.152211174, 0.0685396045, 1.294
0.0871574655, 0.0931612477, 0.145832777, 1.622
0.260092258, 0.0668015704, 0.129788399, 1.465
0.45279485, -0.0639648959, 0.0541271269, 1.191
0.0882021636, -0.0825392753, 0.14836736, 1.633
0.240049735, -0.0824078321, 0.130068064, 1.480
0.30820632, -0.106674649, 0.105886132, 1.382
0.167614669, -0.132775456, 0.124507576, 1.517
0.166447833, -0.205649808, 0.0737582669, 1.380
0.0874163583, -0.169312656, 0.114348538, 1.539
