NodeNo.,X,Y,Z,stress
1,3.0000E-01,0.0000E+00,40.000,1
2,3.0000E-01,2.0235E-01,40.000,1
3,0.0000E+00,0.0000E+00,40.000,0.7785
4,3.0000E-01,0.0000E+00,38.000,0.2459
5,3.0000E-01,1.9716E-01,38.000,0.3659
6,1.8262E-04,0.0000E+00,38.000,0.2562
7,2.5000E+00,1.0108E-01,40.000,0.614
8,2.5000E+00,0.0000E+00,40.000,1
9,2.5000E+00,0.0000E+00,38.000,0.0277
10,2.5000E+00,7.3510E-02,38.000,0.01897
11,3.0000E-01,-1.4315E-01,38.000,0.1219
12,2.5000E+00,-5.1063E-02,38.000,0.02471
13,2.5000E+00,-5.3491E-02,40.000,0.9083
14,3.0000E-01,-1.4572E-01,40.000,1
15,2.8000E+00,9.2467E-03,38.000,0.0005101
16,2.8000E+00,-2.1807E-02,38.000,0.0005673
17,2.8740E+00,2.2683E-02,40.000,0.1706
18,2.8740E+00,-1.6733E-02,40.000,0.5288
19,4.2910E-02,0.0000E+00,40.000,0.729
20,8.5758E-02,0.0000E+00,40.000,0.7102
21,1.2861E-01,0.0000E+00,40.000,0.7263
22,1.7146E-01,0.0000E+00,40.000,0.7796
23,2.1430E-01,0.0000E+00,40.000,0.9025
24,2.5715E-01,0.0000E+00,40.000,1
25,3.0000E-01,1.0118E-01,40.000,1
26,3.0000E-01,0.0000E+00,39.950,0.9055
27,3.0000E-01,0.0000E+00,39.900,0.7558
28,3.0000E-01,0.0000E+00,39.850,0.6696
29,3.0000E-01,0.0000E+00,39.800,0.6242
30,3.0000E-01,0.0000E+00,39.750,0.5747
31,3.0000E-01,0.0000E+00,39.700,0.5329
32,3.0000E-01,0.0000E+00,39.650,0.4959
33,3.0000E-01,0.0000E+00,39.600,0.4636
34,3.0000E-01,0.0000E+00,39.550,0.4353
35,3.0000E-01,0.0000E+00,39.500,0.4103
36,3.0000E-01,0.0000E+00,39.450,0.3882
37,3.0000E-01,0.0000E+00,39.400,0.3685
38,3.0000E-01,0.0000E+00,39.350,0.3509
39,3.0000E-01,0.0000E+00,39.300,0.3351
40,3.0000E-01,0.0000E+00,39.250,0.3208
41,3.0000E-01,0.0000E+00,39.200,0.3079
42,3.0000E-01,0.0000E+00,39.150,0.2962
43,3.0000E-01,0.0000E+00,39.100,0.2856
44,3.0000E-01,0.0000E+00,39.050,0.2759
45,3.0000E-01,0.0000E+00,39.000,0.267
46,3.0000E-01,0.0000E+00,38.950,0.2589
47,3.0000E-01,0.0000E+00,38.900,0.2515
48,3.0000E-01,0.0000E+00,38.850,0.2448
49,3.0000E-01,0.0000E+00,38.800,0.2388
50,3.0000E-01,0.0000E+00,38.750,0.2334
51,3.0000E-01,0.0000E+00,38.700,0.2285
52,3.0000E-01,0.0000E+00,38.650,0.2243
53,3.0000E-01,0.0000E+00,38.600,0.2208
54,3.0000E-01,0.0000E+00,38.550,0.2179
55,3.0000E-01,0.0000E+00,38.500,0.2158
56,3.0000E-01,0.0000E+00,38.450,0.2145
57,3.0000E-01,0.0000E+00,38.400,0.2142
58,3.0000E-01,0.0000E+00,38.350,0.2152
59,3.0000E-01,0.0000E+00,38.300,0.2176
60,3.0000E-01,0.0000E+00,38.250,0.222
61,3.0000E-01,0.0000E+00,38.200,0.2288
62,3.0000E-01,0.0000E+00,38.150,0.2382
63,3.0000E-01,0.0000E+00,38.100,0.251
64,3.0000E-01,0.0000E+00,38.050,0.276
65,2.4742E-01,1.8698E-01,40.000,1
66,1.9563E-01,1.6914E-01,40.000,0.6829
67,1.4505E-01,1.4813E-01,40.000,0.4887
68,9.6322E-02,1.2314E-01,40.000,0.2983
69,5.0947E-02,9.2549E-02,40.000,0.09919
70,1.4692E-02,5.1804E-02,40.000,0.2884
71,3.0000E-01,2.0222E-01,39.950,1
72,3.0000E-01,2.0209E-01,39.900,0.8461
73,3.0000E-01,2.0197E-01,39.850,0.7566
74,3.0000E-01,2.0184E-01,39.800,0.6956
75,3.0000E-01,2.0171E-01,39.750,0.6742
76,3.0000E-01,2.0158E-01,39.700,0.6647
77,3.0000E-01,2.0145E-01,39.650,0.6622
78,3.0000E-01,2.0132E-01,39.600,0.6625
79,3.0000E-01,2.0119E-01,39.550,0.6636
80,3.0000E-01,2.0106E-01,39.500,0.6644
81,3.0000E-01,2.0094E-01,39.450,0.6641
82,3.0000E-01,2.0081E-01,39.400,0.6624
83,3.0000E-01,2.0068E-01,39.350,0.6593
84,3.0000E-01,2.0055E-01,39.300,0.6546
85,3.0000E-01,2.0042E-01,39.250,0.6486
86,3.0000E-01,2.0029E-01,39.200,0.6413
87,3.0000E-01,2.0016E-01,39.150,0.6327
88,3.0000E-01,2.0003E-01,39.100,0.623
89,3.0000E-01,1.9990E-01,39.050,0.6124
90,3.0000E-01,1.9977E-01,39.000,0.6008
91,3.0000E-01,1.9964E-01,38.950,0.5885
92,3.0000E-01,1.9951E-01,38.900,0.5754
93,3.0000E-01,1.9938E-01,38.850,0.5616
94,3.0000E-01,1.9925E-01,38.800,0.5472
95,3.0000E-01,1.9912E-01,38.750,0.5323
96,3.0000E-01,1.9899E-01,38.700,0.5168
97,3.0000E-01,1.9886E-01,38.650,0.5009
98,3.0000E-01,1.9873E-01,38.600,0.4844
99,3.0000E-01,1.9860E-01,38.550,0.4675
100,3.0000E-01,1.9847E-01,38.500,0.4502
101,3.0000E-01,1.9834E-01,38.450,0.4325
102,3.0000E-01,1.9821E-01,38.400,0.4145
103,3.0000E-01,1.9808E-01,38.350,0.3963
104,3.0000E-01,1.9795E-01,38.300,0.378
105,3.0000E-01,1.9782E-01,38.250,0.3602
106,3.0000E-01,1.9769E-01,38.200,0.3435
107,3.0000E-01,1.9756E-01,38.150,0.3295
108,3.0000E-01,1.9742E-01,38.100,0.3219
109,3.0000E-01,1.9729E-01,38.050,0.3316
110,1.7966E-04,0.0000E+00,38.050,0.2684
111,1.7668E-04,0.0000E+00,38.100,0.2722
112,1.7371E-04,0.0000E+00,38.150,0.2783
113,1.7073E-04,0.0000E+00,38.200,0.2783
114,1.6775E-04,0.0000E+00,38.250,0.2737
115,1.6477E-04,0.0000E+00,38.300,0.2665
116,1.6178E-04,0.0000E+00,38.350,0.2585
117,1.5880E-04,0.0000E+00,38.400,0.2511
118,1.5581E-04,0.0000E+00,38.450,0.2451
